Date,US_Eq_TR_index,CAPE,US_Eq_ret
1939-12-31,145596.67265765226,16.28041290128384,-0.019600105235464516
1940-01-31,145384.1558544004,16.37848034261367,-0.0014596267852327038
1940-02-29,145055.82701413336,16.216119847731058,-0.0022583536585365493
1940-03-31,144848.09567430132,16.1729063053079,-0.001432078559738259
1940-04-30,146911.20445550614,16.370988707128785,0.014243257887517125
1940-05-31,127318.387283123,14.138747694800726,-0.1333650298831841
1940-06-30,117019.39675541608,12.843765598268806,-0.0808916194076873
1940-07-31,121554.01636718775,13.369884763210054,0.038751008273009147
1940-08-31,124781.80174910475,13.649399392391638,0.02655432932932933
1940-09-30,130725.24867882112,14.214842598620638,0.04763071895424864
1940-10-31,132641.6504899641,14.328290323104957,0.014659767952336145
1940-11-30,136422.28777870414,14.636689248763608,0.02850264057160623
1940-12-31,131524.91815823302,13.908426122353838,-0.035898603521554495
1941-01-31,132475.58330603465,13.904158267950828,0.007228023108578618
1941-02-28,124896.08279849238,13.002943303402446,-0.057214320695102794
1941-03-31,126369.41036773646,12.955719822063328,0.01179642736771136
1941-04-30,123155.49229174685,12.42937038922078,-0.025432721943048353
1941-05-31,121203.68534024524,12.037206512481573,-0.01584831431535283
1941-06-30,126184.21853953952,12.164306590628437,0.04109225874867439
1941-07-31,133395.565824631,12.74499627791958,0.057149359631147645
1941-08-31,133500.3006293871,12.463173720387804,0.0007851445743989327
1941-09-30,134655.29833316727,12.279729272093077,0.008651648710414461
1941-10-31,130034.55815692525,11.577814956574075,-0.034315323893229
1941-11-30,124728.5253498962,10.911668685916963,-0.0408047897592404
1941-12-31,117396.1209336492,10.086593309917905,-0.05878690857346125
1942-01-31,120459.82577220768,10.101686431929252,0.02609715563165871
1942-02-28,117465.94158824567,9.680255591749361,-0.02485379805897714
1942-03-31,111864.24206163858,9.00342661776097,-0.047687861271676235
1942-04-30,107989.56375062013,8.544255707588261,-0.034637326813365954
1942-05-31,109998.2981953861,8.506116259696048,0.018601190476190244
1942-06-30,116309.67596069515,8.905456928518051,0.057377049180328044
1942-07-31,121390.56455411512,9.150488900994741,0.04368414365746287
1942-08-31,121429.59148012093,9.012823047564291,0.00032149884259258243
1942-09-30,123432.21376879192,9.0778298393715,0.016492045013581702
1942-10-31,133256.07179628123,9.599176749352985,0.07958909370199718
1942-11-30,136115.6441524246,9.661334152171653,0.021459227467810926
1942-12-31,137541.0015665515,9.617514103283172,0.01047166490672291
1943-01-31,146486.46411591666,10.15053422043208,0.06503851540616234
1943-02-28,155911.05575337115,10.708982995221266,0.0643376280145358
1943-03-31,162170.34743664108,10.850541744036802,0.04014655441222348
1943-04-30,168310.9440009764,11.03922714293969,0.03786510087323092
1943-05-31,175654.93114087917,11.362215800613692,0.04363344988345008
1943-06-30,179483.68664864573,11.51674478645123,0.021797028315110767
1943-07-31,183925.45423952892,11.774213341781653,0.024747472451790653
1943-08-31,175581.37815296606,11.210545904158964,-0.04536661943319842
1943-09-30,180068.12546522246,11.336281939610286,0.0255536626916526
1943-10-31,179171.20523118865,11.18733550332603,-0.0049810050041700915
1943-11-30,171638.70875979515,10.631033673001417,-0.04204077581369259
1943-12-31,174681.14247641116,10.73736031604107,0.017725801706384603
1944-01-31,181088.82236719035,11.052412763977472,0.03668215011614362
1944-02-29,180651.59473955465,10.947918887724722,-0.0024144374120956824
1944-03-31,186509.59745767392,11.224693196180683,0.03242707448314941
1944-04-30,184073.32611689394,10.9382751882394,-0.013062444903581327
1944-05-31,188132.88219253358,11.103736936792625,0.022054015979814823
1944-06-30,197811.61931359576,11.532785272532509,0.05144628099173554
1944-07-31,203787.77452785894,11.73877475018072,0.030211345698500258
1944-08-31,201641.03622735772,11.541711674209227,-0.010534185897435933
1944-09-30,199174.96058263068,11.328560584696474,-0.012230028623471556
1944-10-31,204918.36553064836,11.583105186279127,0.02883597883597888
1944-11-30,204336.36139410376,11.47845919805548,-0.0028401755744901225
1944-12-31,209649.319308667,11.63868359335513,0.02600104004160153
1945-01-31,216748.76676352305,11.96046343980699,0.033863441475827205
1945-02-28,224844.93438941683,12.341753548186313,0.03735277365950074
1945-03-31,225557.31970282187,12.323310311389324,0.003168340506934708
1945-04-30,232101.66643983245,12.63186723656308,0.02901411821009825
1945-05-31,241759.02452641045,13.03656062878536,0.041608309990663006
1945-06-30,247047.1633332466,13.130223361406053,0.021873594242015404
1945-07-31,242863.31429835776,12.86702844300916,-0.01693542633090339
1945-08-31,244584.09864989913,12.915378562256741,0.007085402571042065
1945-09-30,262148.63439245766,13.798264951719784,0.0718138907619692
1945-10-31,273981.73247267277,14.374662675391336,0.04513888888888884
1945-11-30,283861.6797951722,14.847702661876777,0.036060606060606126
1945-12-31,289608.87929806736,15.02034747473996,0.02024647887323927
1946-01-31,302068.17052389454,15.623163177761667,0.043021095402962395
1946-02-28,303846.9041984122,15.761666525801907,0.0058885173880871555
1946-03-31,295719.6580982886,15.13487341514253,-0.02674783250322843
1946-04-30,315737.95022283524,16.040842386215907,0.06769347784749957
1946-05-31,317373.6059135216,16.01372317083217,0.005180421579135341
1946-06-30,316298.7220432263,15.773186880128735,-0.0033868092691621277
1946-07-31,308245.6070559417,14.508136111909064,-0.025460472730534867
1946-08-31,303245.74803759146,13.984939309942757,-0.01622037396121867
1946-09-30,259514.96996606872,11.841267540149632,-0.14420903954802267
1946-10-31,254666.1431388089,11.387602961765047,-0.018684189308592836
1946-11-30,254642.16279639257,11.110043656743292,-9.416384180782611e-05
