Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3.1,US Small cap (bottom decile)22.1,3-month T.Bill4.1,US T. Bond5.1, Baa Corporate Bond2.1,Real Estate2.1,Gold2.1,Stocks minus T. Bills,Stocks minus T.Bonds
1938,0.29282654028436017,0.0516,0.00065,0.04213248532204607,0.0923588171368742,-0.0087368136326752,0.0017246335153779935,121.53172913465568,105.16000000000001,117.18186528861054,148.42634118715418,197.05157888149355,89.19612296361703,168.84689922480618,0.2921765402843602,0.2506940549623141,-0.24122654028436016,0.20046772314748595,,-0.0277778,0.3297644718299584,0.08164573900904548,0.02924002352548616,0.07190772368913834,0.12356909473664968,0.019585014996905903,0.030345360880854155,150.1784929481787,181.01930227628424,144.80330408531776,183.41254906857654,243.49944956920072,110.2209227078022,208.6465242048762,0.3005244483044722,0.25785674814082005
1939,-0.010975646879756443,-0.048600000000000004,0.0004583333333333333,0.04412261394206067,0.0798313776534614,-0.013016072256937905,-0.012338593974175027,120.19783979098749,95.14,117.23557364353447,154.97529933818757,212.7824778923929,88.03513978208387,166.76356589147284,-0.011433980213089777,-0.05509826082181711,-0.037624353120243564,-0.09080702453321784,,0,-0.010975646879756495,-0.04859999999999998,0.00045833333333322734,0.04412261394206074,0.07983137765346138,-0.013016072256937905,-0.012338593974175027,148.53018684064548,172.22176418565684,144.86967226635684,191.50519016325862,262.93834608616953,108.78627921361108,206.07211945858933,-0.011433980213089723,-0.055098260821817235
1940,-0.10672873194221515,-0.32880000000000004,0.00035833333333333333,0.05402481596284551,0.08648137177582957,0.03306607685927565,-0.016560139453805967,107.36927676790187,67.12,117.27758305742339,163.34781136372007,231.18419847038714,90.94611648043534,164.0019379844961,-0.10708706527554848,-0.16075354790506066,-0.22207126805778488,-0.1932101037180447,,0.0071429,-0.1130640269044394,-0.3335603120470789,-0.006736448885919621,0.04654941812412661,0.07877578422667675,0.025739323445834295,-0.023534931789526592,131.73676579957333,114.7754187825907,143.8937651240146,200.41964533310852,283.6515205023729,111.58636444075906,201.22222618340825,-0.10632757801851977,-0.159613445028566
1941,-0.1277145557655955,-0.0675,0.0012916666666666669,-0.020221975848580105,0.05007172857275923,-0.08384627736444894,0.0,93.656657282616,93.25,117.42906660220589,160.0445958674045,242.75999090650726,83.32062317279727,164.0019379844961,-0.12900622243226217,-0.10749257991701541,0.06021455576559551,-0.17778628433835475,,0.09929080000000001,-0.2065016424822217,-0.15172582177527538,-0.08914759709926912,-0.10871807154993018,-0.04477347707016255,-0.1665956609156093,-0.09032259707804335,104.53290728666568,97.36102404820075,131.0659817256421,178.630407991772,270.95145565324316,92.99656030758076,183.04731212469736,-0.11735404538295258,-0.09778357093229151
1942,0.19173762945914843,0.6301,0.003425,0.022948682374484164,0.051799010426587015,0.03333041217538635,0.0,111.61416273305268,163.01000000000002,117.83126115531844,163.71740846371824,255.3347182066316,86.09773388585666,164.0019379844961,0.18831262945914842,0.16878894708466427,0.4383623705408516,0.1399386190325614,,0.0903226,0.09301378276406314,0.495062103637951,-0.07969898083374582,-0.0617926452460178,-0.035332285667941665,-0.05227094056806081,-0.08284025296733277,114.25590841672354,145.56077742584816,120.62015656013408,167.592362560585,261.3781214199581,88.13554263070912,167.88362648329712,0.17271276359780896,0.15480642801008093
1943,0.25061310133060394,1.4302000000000001,0.0038,0.0249,0.08044670060105924,0.11446259964945993,0.0,139.5861342080017,243.02,118.27901994770866,167.79397193446482,275.8755538352563,95.95270433035921,164.0019379844961,0.24681310133060394,0.22571310133060393,1.1795868986693963,0.1701664007295447,,0.0295858,0.214675941850212,1.3603666639536018,-0.02504482870684499,-0.004551150569481521,0.04939938041206404,0.08243781105902959,-0.02873563330030382,138.78390316803524,343.57680661514195,117.59924540049269,166.82962448427665,274.2900386713733,95.40124384168458,163.05938415554792,0.23972077055705698,0.21922709241969351
1944,0.1903067694944301,0.7115,0.0038,0.025776111579070303,0.0656586358825617,0.16584227481419478,0.0,166.15032047534245,171.15,118.72848022350996,172.11904807734297,293.98916637342546,111.86571909107982,164.0019379844961,0.1865067694944301,0.16453065791535978,0.52119323050557,0.1246481336118684,,0.0229885,0.1635583093010624,0.6730393352417938,-0.01875729785818714,0.0027249686375458992,0.04171125665885933,0.13964357841187325,-0.022471904620628758,161.48316372840145,574.8175121438954,115.3934013266176,167.28422997880986,285.7310208733634,108.7234149166811,159.39512922730597,0.18231560715924955,0.1608333406635165
1945,0.358210843373494,0.9440999999999999,0.0038,0.03804417341923723,0.06799865477817886,0.11777376471356127,0.025406203840472763,225.6671668995912,194.41,119.1796484483593,178.66717499115143,313.9800342061766,125.040565970826,168.16860465116278,0.354410843373494,0.3201666699542568,0.5858891566265059,0.29021218859531517,,0.0224719,0.3283600687446706,0.9013725462773108,-0.018261528752037015,0.015230025802408065,0.044526167201444755,0.09320731915817082,0.002869813674559518,214.50778647136624,1092.9422367098275,113.28614141049623,169.8319731177231,298.4535280834103,118.85723295078643,159.85256354882068,0.3466215974967076,0.31313004294226254
1946,-0.08429147465437781,-0.1373,0.0038,0.031283745375695685,0.025080329773195936,0.2410168567758013,0.0,206.64534862054904,86.27,119.63253111246307,184.2565534005695,321.8547570062668,155.1774501505817,168.16860465116278,-0.0880914746543778,-0.11557522003007349,-0.0530085253456222,-0.10937180442757374,,0.1813187,-0.22484209777969133,-0.26971443015335317,-0.15027164134454152,-0.12700633167349695,-0.13225759503070944,0.050535183076168444,-0.15348838547971855,166.27740577106616,798.1599441451051,96.26244699915112,148.26223721116915,258.9807822306681,124.86370497788121,135.3170516549181,-0.07457045643514981,-0.09783576610619438
1947,0.052,-0.0174,0.006008333333333333,0.009196968062832236,0.0026212022665691934,0.2126388104648973,0.0,217.3909067488176,98.26,120.35132323689713,185.95115503756207,322.69840342483775,188.1741985615773,168.16860465116278,0.04599166666666667,0.042803031937167765,-0.06939999999999999,0.049378797733430804,,0.08837210000000001,-0.033418809614836564,-0.09718376647104421,-0.07567610991375706,-0.07274638144175838,-0.07878821749788578,0.11417667768670059,-0.08119658708634658,160.72061280435398,720.5917545267655,88.97767947947615,137.47669594959697,238.57614803250564,139.12022797590802,124.32976888595188,0.0422573002989205,0.039327571826921814
1948,0.057045751633986834,-0.0001,0.01045,0.019510369413175046,0.03436959560510321,0.020585153855108507,0.0,229.79213442269784,99.99,121.6089945647227,189.5791307651515,333.7894170529618,192.0477933905291,168.16860465116278,0.04659575163398683,0.03753538222081179,-0.05714575163398684,0.02267615602888362,,0.0299145,0.026343207745872954,-0.02914271039003724,-0.01889914162777584,-0.010101936215894614,0.004325694613585007,-0.009058369549017509,-0.02904561495153246,164.9545092965031,699.5917577151432,87.29607771328268,136.0879151359422,239.60815559097972,137.86002553915867,120.7185342918775,0.045242349373648794,0.03644514396176757
1949,0.18303223684210526,0.276,0.01115,0.04663485182797314,0.053773011179658936,0.0008934851624431417,-0.08700662633246903,271.851502794806,127.60000000000001,122.96493485411936,198.42012543806027,351.7382791078026,192.2193852444035,153.53682170542635,0.17188223684210527,0.13639738501413212,0.09296776315789476,0.12925922566244633,,-0.0207469,0.20809649399333563,0.30303391431694227,0.0325726821799186,0.06880933216139229,0.07609872379230564,0.02209886817048945,-0.06766353492520882,199.2809643494965,911.5917864794329,90.13954510819092,145.45203369168263,257.84203044168146,140.90657606952885,112.55029153069903,0.17552381181341703,0.13928716183194334
