Date,DM_World,DM_exUS,Europe,Japan,EM
1994-04-30,0.0258,0.0353,0.040600000000000004,0.0356,-0.0025
1994-05-31,0.0014000000000000002,-0.004,-0.0368,0.0155,0.0188
1994-06-30,0.004,0.0215,-0.008499999999999999,0.0633,-0.029899999999999996
1994-07-31,0.013900000000000001,0.0047,0.049400000000000006,-0.0383,0.06520000000000001
1994-08-31,0.024900000000000002,0.0144,0.0227,0.0008000000000000001,0.12179999999999999
1994-09-30,-0.0246,-0.0277,-0.0321,-0.0285,0.0258
1994-10-31,0.024699999999999996,0.028899999999999995,0.0397,0.0258,-0.0284
1994-11-30,-0.048,-0.054799999999999995,-0.0417,-0.061799999999999994,-0.0433
1994-12-31,0.0121,0.011399999999999999,0.0046,0.020500000000000004,-0.0907
1995-01-31,-0.018799999999999997,-0.042300000000000004,-0.011300000000000001,-0.0643,-0.12369999999999999
1995-02-28,0.0101,-0.0086,0.023700000000000002,-0.0521,0.0054
1995-03-31,0.046799999999999994,0.0601,0.0391,0.0906,-0.0012999999999999995
1995-04-30,0.0308,0.034,0.030100000000000002,0.0412,0.026000000000000002
1995-05-31,0.004300000000000001,-0.014699999999999998,0.023,-0.0625,0.0581
1995-06-30,0.0043,-0.0126,0.0147,-0.041299999999999996,0.0053
