vintage,CAPE,realized,pred_l0.0,pred_l0.5,pred_l1.0
1905,19.57796080909611,0.051042883212195855,0.07644362968840301,0.07083935108093253,0.06523507247346205
1906,17.660003667768656,0.05280360842769527,0.0895690361583965,0.08922311724158803,0.08887719832477957
1907,11.333306235811172,0.059037652677945474,0.11367761181111478,0.13553581196561748,0.15739401212012016
1908,14.582482908962435,0.044359314860719534,0.09284462694957125,0.10126679051230365,0.10968895407503605
1909,14.750638489265029,0.0453032859196556,0.08550936139064207,0.0931070176320156,0.10070467387338915
1910,13.741478417781545,0.032401594133898426,0.09038854319888341,0.10123721483907129,0.11208588647925917
1911,13.92925841957824,0.041080801575209325,0.08297376207649328,0.09285993151429368,0.10274610095209409
1912,13.388999452579634,0.05810483919906684,0.08276762273227724,0.09437110573128006,0.10597458873028288
1913,11.174040870036798,0.07216596303387846,0.10015642241542692,0.12063529416392764,0.14111416591242837
1914,10.172217991997865,0.10104833767246202,0.093924039429308,0.11879061858028146,0.1436571977312549
1915,12.87844460218599,0.0955469151947177,0.08413750331862638,0.09632017956769093,0.10850285581675548
1916,11.413559188849495,0.10049167372775503,0.10248981885179538,0.12050803370410941,0.13852624855642343
1917,6.412593898119819,0.1680885554472078,0.1662841185078039,0.2143598250005898,0.26243553149337573
1918,6.134580411283432,0.17867606523839674,0.15318273347484096,0.2028191260950774,0.25245551871531385
1919,6.160717033799178,0.15222089392565796,0.1442476644467502,0.1928191793627324,0.24139069427871462
1920,4.784241045083249,0.1441994202942687,0.1710103599535719,0.2326965913062911,0.29438282265901033
1921,6.114158849417271,0.06876275539620713,0.14899855766148604,0.19620436946316963,0.24341018126485323
1922,7.964679864940001,0.03115311764782769,0.13412274927057954,0.16641060273001496,0.19869845618945037
1923,7.809739144938741,0.07325951612449222,0.13733045659032325,0.17007669673202316,0.20282293687372308
1924,9.310639680416374,0.04564113790110791,0.12842543813726512,0.15137285890173943,0.17432027966621375
1925,11.147365239137258,0.059273656747173,0.12397544863681298,0.13723991718546802,0.15050438573412306
1926,13.009052728993128,0.07794353305453772,0.11331044534016882,0.11849925542833245,0.12368806551649608
1927,18.64662402140253,0.0060182462524538405,0.08670616711118842,0.07413359805778916,0.061561029004389894
1928,25.30159102742615,-0.006002637853612325,0.05929525740385187,0.032568481492937104,0.005841705582022336
1929,22.00737317641834,0.00026676581789764064,0.054946127462771055,0.035731487560467845,0.016516847658164635
1930,16.05500185653132,0.017718156706545196,0.06371241225943397,0.060340355407628665,0.05696829855582336
1931,9.306032867968316,0.062140055132689165,0.09933105492828136,0.1237719016705671,0.14821274841285287
1932,8.257073999100678,0.0917991905078126,0.06716527139475874,0.09744235104989966,0.1277194307050406
1933,12.281801622601112,0.07066743847349444,0.03644597711688559,0.04583676547569661,0.05522755383450763
1934,11.639337566475884,0.09348481684553023,0.04237445032813855,0.054342720930504046,0.06631099153286954
1935,16.159192714615333,0.08669648861673362,0.02936516149725979,0.0247090739243018,0.02005298635134381
1936,21.12566354815545,0.04399198104066593,0.03802608646681857,0.020536265875589238,0.0030464452843599055
1937,13.008483033706135,0.0896969995236363,0.07341474849855661,0.08011704243130086,0.0868193363640451
1938,15.756484438994002,0.07493908518670822,0.039385727063029716,0.036415721910023444,0.03344571675701717
1939,16.28041290128384,0.08928119305599735,0.04874648465497669,0.04419407069064038,0.03964165672630407
1940,13.908426122353838,0.1277996627487732,0.06945086793331913,0.0727522173393569,0.07605356674539467
1941,10.086593309917903,0.16809608174936486,0.10605000482113194,0.12563267723347651,0.14521534964582108
1942,9.617514103283177,0.16885339973976032,0.10677206457328624,0.12851726650871687,0.15026246844414748
1943,10.737360316041075,0.14236773558123872,0.10014634396238944,0.115971315770425,0.13179628757846054
1944,11.638683593355132,0.1666045450852256,0.09665629982117806,0.10815883111136636,0.11966136240155466
1945,15.020347474739957,0.16388516950584542,0.08514606571666808,0.08369619827177557,0.08224633082688307
1946,11.372779425862703,0.18223914674459563,0.10975968339289417,0.12234435217742996,0.13492902096196574
1947,10.680912531969186,0.16517093211866163,0.12463690191428184,0.14026861892060444,0.15590033592692704
1948,10.159652938900914,0.19514863439000396,0.13604209823809435,0.15405651741658802,0.17207093659508169
1949,10.529330904131143,0.1925033824309399,0.14153021303418478,0.1574597199614397,0.17338922688869463
1950,11.30666578889076,0.16303483417522258,0.15237217460719754,0.1644758301368202,0.17657948566644288
1951,12.147072568106775,0.16602433326275,0.13432531259587724,0.14265304663550085,0.15098078067512447
1952,12.933964306161371,0.1352905112044771,0.11994443252118234,0.12499965905824481,0.13005488559530728
1953,11.754449184027292,0.1571323315622204,0.12192562181364675,0.1317211514087755,0.14151668100390424
1954,15.789062002327086,0.1298002243298968,0.10441749063238774,0.099361024133903,0.09430455763541827
1955,18.94236903581358,0.10946840071382735,0.09460378473110177,0.08076471992247077,0.06692565511383976
1956,17.19752272556093,0.0931445057211524,0.08175850445062212,0.07281840514579725,0.06387830584097239
1957,13.67324605795139,0.12550100986218315,0.0829378695789527,0.0854461058836407,0.08795434218832869
1958,17.358357365369958,0.10553699488783819,0.07004532108185223,0.06073759197912586,0.05142986287639949
