Date,USSPX500,USNDAQ100,US30,US2000,USDMXN,USDJPY,EURUSD,GBPUSD,USDCAD,USDCHF,USDCNH,USDNOK,USDSEK,GOLD,SILVER,USSPX500_ret,USNDAQ100_ret,US30_ret,US2000_ret,USDMXN_ret,USDJPY_ret,EURUSD_ret,GBPUSD_ret,USDCAD_ret,USDCHF_ret,USDCNH_ret,USDNOK_ret,USDSEK_ret,GOLD_ret,SILVER_ret
2020-03-31,2570.3,7784.55,21788.5,,23.69944,107.521,1.10261,1.24066,1.40581,0.96096,7.09148,10.39588,9.8712,1575.83,13.95,-0.13987886089080748,-0.08862560073991244,-0.15241116529120124,,0.20979765273290552,-0.004693227681712209,-9.069307648879033e-06,-0.031921783437502405,0.04880669059005216,-0.004227804028848481,0.016542241488056275,0.10715076849674521,0.027880605407431647,-0.006481265486000365,-0.16266506602641062
2020-04-30,2890.1,8879.15,24228.1,,24.1586,107.13,1.09507,1.259,1.39436,0.96455,7.07935,10.21778,9.7466,1685.75,14.918,0.12442127378127066,0.1406118529651681,0.11196732221125827,,0.01937429745175412,-0.00363649891649076,-0.006838319986214647,0.014782454500023912,-0.008144770630455045,0.0037358474858475432,-0.0017105033081952215,-0.017131786823241568,-0.012622578815138952,0.06975371708877232,0.06939068100358425
2020-05-31,3061.05,9589.35,25517.05,,22.16749,107.828,1.10975,1.23428,1.3788,0.96154,7.13098,9.714,9.4245,1728.14,17.853,0.05915020241514135,0.07998513371212335,0.05320062241777124,,-0.08241826927057028,0.006515448520489242,0.013405535719177797,-0.019634630659253305,-0.011159241515820928,-0.0031206261987456463,0.007293042440337016,-0.04930425199994515,-0.03304742166499097,0.025146077413614076,0.19674219064217735
2020-06-30,3094.0,10150.15,25778.5,,22.98107,107.918,1.12333,1.23996,1.35739,0.94714,7.06733,9.60264,9.30799,1779.43,18.177,0.0107642802306398,0.05848154463024069,0.010246090359191218,,0.0367014939445105,0.0008346626108246546,0.012236990313133411,0.0046018731568200355,-0.015527995358282531,-0.014975976038438255,-0.008925841889894537,-0.011463866584311422,-0.012362459546925608,0.0296793083893665,0.018148210384809182
2020-07-31,3276.8,10925.35,26482.95,,22.2671,105.852,1.17794,1.30848,1.3411,0.91281,6.98446,9.09659,8.77598,1975.94,24.404,0.059082094376212035,0.07637325556765173,0.027327036095971424,,-0.031067744017141075,-0.019144165014177483,0.04861438757978509,0.05525984709184173,-0.012000972454489944,-0.036245961526279125,-0.011725786117246506,-0.052699049428073796,-0.05715627111760968,0.11043424017803449,0.3425757825823843
2020-08-31,3496.8,12108.6,28420.1,,21.87507,105.9,1.19354,1.3368,1.30461,0.90357,6.84608,8.69762,8.63165,1966.99,28.092,0.067138671875,0.10830316648894533,0.07314706254401404,,-0.017605795096801935,0.0004534633261534804,0.013243458919809159,0.02164343360234766,-0.02720900753113109,-0.010122588490485418,-0.019812555301340518,-0.043859292328224164,-0.016446026540625658,-0.004529489761834871,0.1511227667595476
2020-09-30,3347.2,11371.5,27698.9,,22.10474,105.477,1.17194,1.29136,1.33141,0.92073,6.78065,9.31992,8.94699,1884.99,23.224,-0.042781972088766995,-0.060874089490114525,-0.025376406135094398,,0.01049916640266746,-0.003994334277620415,-0.018097424468388246,-0.033991621783363235,0.02054253761660574,0.018991334373651192,-0.009557294101149916,0.07154830861775974,0.03653299195402959,-0.04168806145430326,-0.17328776875978924
2020-10-31,3285.95,11100.45,26606.95,,21.1725,104.628,1.16453,1.29399,1.33196,0.91701,6.69377,9.52876,8.89515,1878.76,23.613,-0.0182988766730402,-0.023835905553357017,-0.03942214311759673,,-0.042173760017082285,-0.008049148155522046,-0.006322849292625832,0.002036612563498963,0.00041309589082261233,-0.0040402723925581085,-0.012812930913702947,0.02240791766452932,-0.005794127410447603,-0.003305057321258964,0.016749913882190715
2020-11-30,3635.25,12327.45,29706.65,,20.16905,104.292,1.19264,1.33216,1.29936,0.90828,6.5802,8.87782,8.55727,1776.31,22.587,0.10630106970586906,0.11053605934894528,0.11649963637320337,,-0.047394025268626794,-0.003211377451542541,0.024138493641211456,0.02949790956653464,-0.02447520946574966,-0.009520070664442049,-0.01696652260236009,-0.06831319080342046,-0.037984744495595746,-0.054530647874129756,-0.0434506415957312
2020-12-31,3732.75,12830.35,30410.1,,19.94113,103.247,1.22161,1.36586,1.27569,0.88547,6.49975,8.58279,8.21721,1893.67,26.303,0.026820713843614508,0.040795136058146664,0.023679883123812306,,-0.011300482670229761,-0.010019944003375136,0.024290649315803714,0.025297261590199405,-0.01821666050978954,-0.025113401153829207,-0.012226072155861467,-0.0332322574686128,-0.03973930938254855,0.06606954867112158,0.16451941382211022
2021-01-31,3704.0,12884.2,29928.95,,20.58608,104.654,1.21369,1.37094,1.2776,0.89055,6.44928,8.55947,8.36218,1847.39,26.979,-0.007702096309691209,0.004197079580837704,-0.015822045964991815,,0.032342700739627084,0.013627514600908386,-0.006483247517620305,0.0037192684462536985,0.0014972289506072212,0.005737066190836471,-0.007764914035155113,-0.002717065196748414,0.017642241101298417,-0.024439316248343168,0.025700490438352874
2021-02-28,3810.05,12910.75,30951.95,,20.84965,106.583,1.20744,1.39348,1.27375,0.90738,6.4772,8.65755,8.43215,1734.24,26.66,0.02863120950323972,0.002060663448254285,0.034180951887720745,,0.012803311752407565,0.018432166950140383,-0.0051495851494202105,0.01644127387048311,-0.003013462742642581,0.018898433552299254,0.0043291654262180845,0.011458653397932395,0.008367435286013913,-0.06124857231012404,-0.011824011268023238
2021-03-31,3975.25,13105.5,33048.5,,20.41731,110.668,1.17292,1.37775,1.25606,0.94338,6.56255,8.53765,8.72197,1706.44,24.387,0.04335901103660045,0.01508432895068057,0.06773563539615424,,-0.020736079502533644,0.038326937691752105,-0.02858941231034262,-0.01128828544363758,-0.013888125613346403,0.039674667724657775,0.013176990057432336,-0.013849183660504583,0.03437083068968172,-0.016030076575329844,-0.08525881470367591
2021-04-30,4188.95,13875.45,33909.95,2269.67,20.22942,109.346,1.20193,1.38271,1.22912,0.91312,6.47088,8.31328,8.47005,1768.88,25.907,0.053757625306584345,0.05875014306970372,0.026066235986504704,,-0.009202485538006733,-0.011945639209166137,0.024733144630494808,0.0036000725821085933,-0.021448019999044554,-0.032076151709809375,-0.013968655476910619,-0.02628006535756311,-0.028883382997189844,0.036590797215255266,0.062328289662525016
2021-05-31,4194.5,13659.15,34463.0,2259.58,19.94113,109.567,1.22243,1.42075,1.20576,0.89868,6.37067,8.30335,8.28997,1906.59,28.029,0.001324914358013407,-0.015588683610261334,0.016309372322872884,-0.004445580194477716,-0.014251026475301853,0.002021107310738346,0.017055901758005865,0.027511191790035472,-0.019005467326217218,-0.015813912738741887,-0.015486301708577566,-0.0011944743831556748,-0.021260795390818266,0.077851521866944,0.08190836453468164
2021-06-30,4304.65,14571.2,34577.0,2313.83,19.9175,111.098,1.18564,1.3827,1.23954,0.9249,6.46623,8.59355,8.54017,1769.93,26.11,0.026260579330074973,0.06677209050343547,0.0033078954240779446,0.02400888660724565,-0.0011849880122140055,0.013973185356904949,-0.03009579280613195,-0.02678162942108031,0.028015525477707026,0.029176124983308904,0.014999992151532027,0.034949749197612956,0.030181050112364716,-0.07167770732039913,-0.06846480430982194
2021-07-31,4403.05,14976.72,34983.45,2229.11,19.8662,109.655,1.18713,1.39025,1.24763,0.90651,6.46069,8.80447,8.5841,1813.98,25.479,0.022859001312534266,0.027830240474360224,0.011754923793272809,-0.0366146173227937,-0.0025756244508599035,-0.012988532646852291,0.0012567052393643863,0.005460331235987548,0.006526614711909184,-0.01988323061952646,-0.0008567588842340879,0.02454398938738933,0.00514392570639699,0.024887989920505227,-0.024166985829184195
2021-08-31,4531.25,15608.2,35418.65,2275.5,20.06058,109.986,1.18084,1.37532,1.26141,0.9149,6.45127,8.68555,8.61556,1813.38,23.869,0.02911618082919798,0.04216410535818271,0.0124401681366475,0.02081099631691563,0.00978445802418193,0.0030185582052801863,-0.005298493004136096,-0.010739075705808232,0.01104494120853139,0.009255275727791279,-0.0014580485985242753,-0.01350677553560875,0.003664915366782928,-0.0003307643965203555,-0.06318929314337296
2021-09-30,4310.15,14710.35,33869.0,2204.07,20.628,111.257,1.15803,1.34703,1.26745,0.93157,6.4478,8.72525,8.75027,1756.65,22.148,-0.04879448275862075,-0.05752425007367923,-0.04375237339650162,-0.031390903098220124,0.02828532375434789,0.011556016220246157,-0.019316757562413245,-0.020569758310793218,0.004788292466367139,0.018220570554158932,-0.0005378785882469428,0.004570810138678771,0.015635663845414483,-0.03128412136452374,-0.07210188948007878
2021-10-31,4611.1,15876.95,35856.45,2299.32,20.55583,113.923,1.15579,1.36819,1.23905,0.91605,6.40238,8.43922,8.58794,1783.21,23.902,0.06982355602473245,0.07930470722994354,0.05868050429596372,0.0432155058596142,-0.0034986426216793154,0.02396253718867114,-0.0019343194908593153,0.01570863306682102,-0.022407195550120274,-0.01666004701740076,-0.007044263159527331,-0.032781868714363505,-0.01855142755594974,0.015119688042581014,0.07919450966227215
2021-11-30,4589.7,16242.05,34577.0,2214.57,21.44044,113.143,1.13349,1.3296,1.27777,0.9182,6.36689,9.02525,9.01597,1774.3,22.815,-0.004640975038494144,0.022995600540405947,-0.03568256199372766,-0.036858723448671804,0.04303450651226437,-0.006846729808730467,-0.019294162434352224,-0.02820514694596521,0.031249747790646154,0.0023470334588722164,-0.005543251103495961,0.06944125167965742,0.049840823294061254,-0.004996607241996243,-0.045477365910802425
2021-12-31,4784.7,16388.35,36490.5,2244.29,20.5018,115.051,1.13839,1.3541,1.2634,0.91142,6.35974,8.79315,9.03394,1828.31,23.3,0.04248643702202748,0.00900748366123727,0.05534025508285856,0.01342021250174974,-0.043778952297620743,0.01686361507119316,0.004322931830011756,0.01842659446450079,-0.011246155411380743,-0.007384012197778289,-0.0011229972561170865,-0.025716739148499923,0.001993129968267393,0.03044017358958473,0.021257944334867496
2022-01-31,4498.85,14879.4,35027.5,2015.34,20.61909,115.046,1.12324,1.34424,1.27051,0.92693,6.36862,8.88385,9.3116,1796.85,22.45,-0.059742512592220964,-0.09207455295987688,-0.04009262684808379,-0.10201444554848083,0.005720961086343568,-4.345898775326429e-05,-0.013308268695262582,-0.007281589247470577,0.0056276713629888064,0.017017401417568134,0.0013962834958660686,0.010314847352768997,0.03073520523713924,-0.017207147584381244,-0.03648068669527904
2022-02-28,4373.65,14224.85,33889.9,2047.68,20.45495,114.973,1.12162,1.34161,1.26697,0.91654,6.30803,8.7948,9.4722,1908.77,24.428,-0.027829334163175234,-0.04399034907321531,-0.03247733923345941,0.01604692012265918,-0.007960584099492296,-0.0006345287971768476,-0.0014422563299026914,-0.0019564958638339514,-0.0027862826738869195,-0.011209044911697719,-0.009513835022344042,-0.010023807245732486,0.017247304437475908,0.06228677964215157,0.08810690423162582
2022-03-31,4549.7,14922.1,34817.65,2072.52,19.85593,121.57,1.1066,1.31331,1.24904,0.92248,6.35263,8.77915,9.39087,1937.01,24.77,0.04025242074697344,0.049016334091396496,0.027375412733587234,0.012130801687763704,-0.029284843033104413,0.057378688909569986,-0.013391344662185056,-0.02109405863104774,-0.014151874156452027,0.006480895541929321,0.007070353184750466,-0.0017794605903489469,-0.008586178501298614,0.01479486789922313,0.014000327493040698
2022-04-30,4142.9,12895.97,33076.95,1868.7,20.415,129.719,1.05439,1.25723,1.28417,0.97343,6.639,9.37885,9.8221,1896.46,22.782,-0.0894124887355211,-0.13578048666072473,-0.049994758405578876,-0.09834404493080884,0.028156324080513828,0.06703133996874233,-0.04718055304536428,-0.042701266266151894,0.02812560046115431,0.0552315497354956,0.04507896729386096,0.06830957438932028,0.04592013306541376,-0.02093432661679595,-0.08025837706903516
2022-05-31,4134.1,12652.7,33062.5,1868.43,19.64511,128.51,1.07298,1.25999,1.26423,0.95875,6.67694,9.3443,9.74817,1837.12,21.471,-0.0021241159574209023,-0.01886403271719761,-0.00043686010953236654,-0.00014448547118317556,-0.03771197648787661,-0.009320145853729978,0.017631047335426198,0.0021953023710854502,-0.015527539188736728,-0.01508069404066037,0.00571471607169749,-0.003683820511043434,-0.007526903615316605,-0.03128987692859331,-0.05754543060310768
2022-06-30,3780.24,11484.45,30752.4,1702.41,20.10043,135.713,1.04828,1.21725,1.28715,0.95406,6.69239,9.83355,10.21907,1807.15,20.248,-0.08559541375390067,-0.09233207141558719,-0.06987069943289226,-0.08885534914339843,0.023177269050669524,0.05605011283168637,-0.023020000372793503,-0.033920904134159824,0.018129612491397884,-0.004891786179921698,0.0023139342273554853,0.05235812206371793,0.04830650265639602,-0.01631357777390685,-0.05696055144147916
2022-07-31,4130.87,12957.3,32856.9,1883.42,20.3367,133.225,1.02247,1.21774,1.27937,0.9513,6.74953,9.65415,10.13427,1766.11,20.287,0.09275337015639229,0.12824732573175024,0.06843368322472387,0.10632573821817304,0.011754474904268175,-0.01833280525815506,-0.02462128438966693,0.00040254672417350257,-0.006044361574020218,-0.0028928998176215304,0.00853805591126644,-0.018243665817532895,-0.00829821108965878,-0.02270979166090259,0.0019261161596206833
