,Mexico_Govt_Local
2022-08-01,216.79101920418015
2022-09-01,213.5136154284257
2022-10-01,212.14136353983793
2022-11-01,215.9658414512994
2022-12-01,227.21201460082807
2023-01-01,241.24595581099734
2023-02-01,237.74895234128533
2023-03-01,243.86113496713028
2023-04-01,253.8026810061373
2023-05-01,261.44913369004746
2023-06-01,276.02986185538214
2023-07-01,285.07828823021384
2023-08-01,274.4308948361151
2023-09-01,258.16914989701803
2023-10-01,250.93034072229804
2023-11-01,253.75581521284153
2023-12-01,276.65112556872253
2024-01-01,275.72187459401323
2024-02-01,279.78639915792144
2024-03-01,292.5166193896525
2024-04-01,274.1092188729617
2024-05-01,281.12544051431365
2024-06-01,263.72184163957354
2024-07-01,255.9511145202726
2024-08-01,247.33124311073234
2024-09-01,257.1698209433544
2024-10-01,240.8819108277046
2024-11-01,240.11032615540392
2024-12-01,229.8590435409728
2025-01-01,235.82684467067034
2025-02-01,246.0483617100495
2025-03-01,248.8828491920949
2025-04-01,271.6433844474972
2025-05-01,273.9336739159452
2025-06-01,284.66643936683477
2025-07-01,285.9264639295553
2025-08-01,296.7048757582246
2025-09-01,310.575548425885
2025-10-01,311.05102338445124
2025-11-01,312.48332366026165
2025-12-01,314.8497998554929
2026-01-01,329.0564262992489
2026-02-01,344.10045906628574
2026-03-01,330.9991995240459
2026-04-01,340.1051222671031
2026-05-01,333.11009115732327
